unknown,không biết,a,tôi không biết
ask_who, Viện trưởng Viện Việt Nam học và Khoa học Phát triển   Đại học quốc gia Hà Nội hiện nay là ai, b, GS.TS Phạm Hồng Tung đang là viện trưởng Viện Việt Nam học và Khoa học Phát triển  ĐHQGHN
ask_who, Giám đốc Trung tâm Giáo dục Thể chất và Thể thao   Đại học quốc gia Hà Nội hiện nay là ai, b, Ngô Quang Huy đang là giám đốc trung tâm Giáo dục thể chất và thể thao  ĐHQGHN
ask_who, Viện trưởng Viện Tài nguyên và Môi trường   Đại học quốc gia Hà Nội hiện nay là ai, b, Hoàng Văn Thắng đang là viện trưởng viện Tài nguyên và Môi trường  ĐHQGHN
ask_who, Viện trưởng Viện Quốc tế Pháp ngữ   Đại học quốc gia Hà Nội hiện nay là ai, b, Ngô Tự Lập đang là viện trưởng viện Quốc tế Pháp ngữ  ĐHQGHN
ask_who, Hiệu Trưởng đầu tiên của Trường Đại học Tổng hợp Hà Nội là ai, b, Ngụy Như Kon Tum là hiệu trưởng đầu tiên của Đại học Tổng hợp
ask_who, Giám đốc đầu tiên của Đại học Quốc gia Hà Nội là ai, b, Nguyễn Văn Đạo là giám đốc đầu tiên của đại học quốc gia Hà Nội
ask_who, Ai là Nhà Toán học Việt Nam đương đại đầu tiên được đặt tên đường, b, Lê Văn Thiêm là nhà toán học đầu tiên được đặt tên đường
ask_who, Năm 2017  Nhà giáo nào của  Đại học quốc gia Hà Nội đã nhận Giải thưởng Hồ Chí Minh về Khoa học và Công nghệ lần thứ V với công trình Lịch sử và Văn hóa Việt Nam - Tiếp cận bộ phận, b, Phan Huy Lê nhận giải thưởng Hồ Chí Minh về khoa học và Công nghệ lần thứ V
ask_who, Năm 2017  Nhà giáo nào của  Đại học quốc gia Hà Nội đã nhận Giải thưởng Nhà nước về Khoa học và Công nghệ lần thứ V với cụm công trình Nghiên cứu cơ bản và định hướng ứng dụng các vật liệu từ liên kim loại đất hiếm - kim loại chuyển tiếp, b, Thân Đức Hiền nhận giải thưởng Nhà nước về Khoa học và Công nghệ lần thứ V
ask_who, Hiệu trưởng trường Đại học Khoa học Tự nhiên   Đại học quốc gia Hà Nội hiện nay là ai, b, Nguyễn Văn Nội hiện đang là hiệu trưởng trường Đại học Khoa học Tự nhiên  ĐHQGHN
ask_who, Ai là đại biểu Quốc hội Việt Nam khóa 3 1964-1971 và 4 1971-1975 trong những người sau đây, b, Ngụy Như Kon Tum là đại biểu quốc hội khóa 3 và khóa 4
ask_who, Nhóm tác giả Trường Đại học Công nghệ   Đại học quốc gia Hà Nội đã đạt giải nhì Giải thưởng Nhân tài Đất Việt năm 2017 với sản phẩm mang tên gì, b, DoIT – Hệ thống hỗ trợ nâng cao chất lượng văn bản
ask_who, Chánh Văn phòng  Đại học quốc gia Hà Nội hiện nay là ai, b, Trần Quốc Bình hiện đang là chánh văn phòng ĐHQGHN
ask_who, Trưởng Ban Tổ chức Cán bộ  Đại học quốc gia Hà Nội hiện nay là ai, b, Nguyễn Hiệu đang là trưởng ban Tổ chức Cán bộ ĐHQGHN
ask_who, Trưởng ban Đào tạo  Đại học quốc gia Hà Nội hiện nay là ai, b, Nguyễn Đình Đức đang là trưởng ban đào tạo ĐHQGHN
ask_who, Trưởng ban Chính trị và Công tác học sinh  sinh viên của  Đại học quốc gia Hà Nội hiện nay là ai, b, Đinh Văn Hường hiện đang là trưởng ban Chính trị và công tác học sinh  sinh viên ĐHQGHN
ask_who, Ai là tác giả của cụm công trình lịch sử và văn hóa Việt Nam gồm 4 cuốn Lịch sử Việt Nam từ nguồn gốc đến cuối thế kỉ XIX  Lịch sử cổ đại Việt Nam  Việt Nam văn hóa sử đại cương  Đất nước Việt Nam qua các đời, b, GS. Đào Duy Anh
ask_who, Ai là Hiệu trưởng đầu tiên của Trường Đại học Văn Khoa 1954-1956, b, Đặng Thai Mai là hiệu trưởng đầu tiên đại học Văn Khoa
ask_who, Ai là người vinh dự nhận giải thưởng dành cho các nhà khoa học nữ có nhiều cống hiến  giải thưởng Kovale giáo sưkaia lần đầu tiên được trao tại Việt Nam năm 1988, b, GS.TSKH.NGƯT Phạm Thị Trân Châu đã từng nhận giải thưởng Kovalevskaia
ask_who, Ai là nữ giáo sư đầu tiên của ngành Ngôn ngữ học Việt Nam, b, Hoàng Thị Châu là nữ giáo sư đầu tiên ngành Ngôn ngữ học Việt Nam
ask_who, Ông nguyên là Bộ trưởng Bộ Giáo dục  tên ông nay đã trở thành tên một con phố dài 700m của quận Tây Hồ  Hà Nội Ông là ai, b, GS. Đặng Thai Mai
ask_who, Tác giả của bộ giáo trình Giải tích 3 tập là ai, b, GS.TSKH.NGƯT Nguyễn Thừa Hợp là tác giả của bộ giải tích
ask_who, Vị giám đốc đầu tiên của Trường Đại học Văn Khoa Hà Nội là ai, b, GS. Đặng Thai Mai là giám đốc đầu tiên Trường đại học Văn Khoa Hà Nội
ask_who, Tác giả hai bộ từ điển Hán - Việt từ điển 1932 và Pháp – Việt từ điển 1936 là ai, b, GS. Đào Duy Anh
ask_who, Cách đây 40 năm  vị Hiệu trưởng Trường Đại học Tổng hợp Hà Nội - tiền thân cơ bản của Đại học Quốc gia hôm nay là ai, b, GS. Ngụy Như Kontum là hiệu trưởng đầu tiên trường Đại học Tổng hợp Hà Nội
ask_who, Ai là một trong những người là nhà khảo cổ học đầu tiên tại Nước Việt Nam Dân chủ Cộng hòa, b, GS. NGƯT Trần Quốc Vượng là một trong những nhà khảo cổ đầu tiên tại Việt Nam
ask_who, MC Lê Anh là giảng viên của Trường nào, b, MC Lê Anh là giảng viên Trường Đại học Khoa học Xã hội và Nhân văn
ask_who, Ngày 27/12/2017  lễ trao giải Giải thưởng Khoa học công nghệ Thanh niên Quả Cầu Vàng đã diễn ra tại tại Bộ Khoa học và Công nghệ Trường Đại học Công nghệ vinh dự có 02 cá nhân trong đó có 1 giảng viên  là ai, b, TS. Hà Minh Hoàng vó vinh dự nhận giải thưởng Khoa học công nghệ Quả Cầu Vàng
ask_who,  Đại học quốc gia Hà Nội có một giảng viên đạt Huy chương vàng Đông nam Á năm 2017  hiện là thành viên Đội tuyển Bóng bàn Việt Đây là ai, b, Phan Hoàng Tường Giang
ask_who, Đồng chí nào Nguyên là Bí thư thứ nhất BCH Trung ương Đoàn  Nguyên là Bí thư Đoàn Đại học Quốc Gia Hà Nội, b, Nguyễn Đắc Vinh là nguyên bí thư Đoàn ĐHQGHN
ask_who, Chủ tịch danh dự Câu lạc bộ Cựu sinh viên  Đại học quốc gia Hà Nội, b, Ông Phùng Xuân Nhạ - Bộ trưởng Bộ Giáo dục và Đào tạo  nguyên Giám đốc ĐHQGHN
ask_who, Sinh viên được chuyển đi học tại cơ sở đào tạo đại học khác ngoài Đại học Quốc gia Hà Nội khi được sự đồng ý của ai, b, Thủ trưởng đơn vị đào tạo
ask_who, Giải thưởng Sao Tháng Giêng của Hội Sinh viên Việt Nam là giải thưởng dành cho đối tượng nào, b, Cán bộ Hội Sinh viên xuất sắc
ask_who, Đối tượng nào sau đây được miễn học toàn bộ học phần giáo dục quốc phòng - an ninh, b, Sinh viên là người nước ngoài  đã có chứng chỉ giáo dục quốc phòng - an ninh  sinh viên có bằng tốt nghiệp học viện  trường sĩ quan quân đội  công an.
ask_who, Đối tượng được miễn học các nội dung thực hành kỹ năng Quân sự trong học phần giáo dục quốc phòng – an ninh, b, Sinh viên là tu sỹ thuộc các tôn giáo 
ask_who, Đối tượng được miễn học các nội dung thực hành kỹ năng Quân sự trong học phần giáo dục quốc phòng – an ninh, b, Sinh viên có thương tật  khuyết tật bẩm sinh  bị bệnh mãn tính làm hạn chế chức năng vận động có giấy chứng nhận của bệnh viện cáp huyện trở lên hoặc tương đương 
ask_who, Đối tượng được miễn học các nội dung thực hành kỹ năng Quân sự trong học phần giáo dục quốc phòng – an ninh, b, Sinh viên đã hoàn thành nghĩa vụ quân sự  có giấy xuất ngũ do đơn vị quân đội có thẩm quyền cấp
ask_who, Đối tượng nào sau đây được miễn học toàn bộ học phần giáo dục thể chất, b, Sinh viên đã hoàn thành học phần giáo dục thể chất phù hợp với trình độ đào tạo
ask_who, Đối tượng nào sau đây được ưu tiên vào Kí túc xá theo chính sách của  Đại học quốc gia Hà Nội, b, Con thương binh  liệt sỹ  Người dân tộc thiểu số  Hộ gia đình chính sách
ask_who, Sinh viên được xét tuyển bổ sung sinh viên vào chương trình đào tạo tài năng  chuẩn quốc tế  chất lượng cao là, b, Cả A và C đều đúng  Là sinh viên năm thứ 2
ask_who, Bí thư Đoàn Đại học Quốc gia Hà Nội hiện nay là đồng chí, b, Đồng chí Trương Ngọc Kiểm
ask_who, Tuổi trẻ Đại học Quốc gia Hà Nội có một gương mặt được Trung ương Đoàn vinh danh giải thưởng Gương mặt trẻ Việt Nam tiêu biểu năm 2017  đó là, b, Đinh Quang Hiếu
ask_who, Phó Chủ tịch Hội Sinh viên Đại học Quốc gia Hà Nội khóa IV  là sinh viên là ai, b, Đặng Huyền Thư
ask_who, Chủ tịch Hội Sinh viên  Đại học quốc gia Hà Nội là ai, b, đồng chí Hứa Thanh Hoa được bầu làm tân Chủ tịch Hội Sinh viên ĐHQGHN
ask_who, Tiến sĩ Nguyễn Kim Sơn là ai,a, Nguyễn Kim Sơn (sinh ngày 18 tháng 11 năm 1966) là một nhà khoa học về lĩnh vực Khoa học Xã hội và Nhân văn. Ông hiện là Giám đốc Đại học Quốc gia Hà Nội. 
