unknown,tôi không biết,a,tôi không biết
ask_when,  Đại học quốc gia Hà Nội thực hiện đổi mới tuyển sinh theo phương thức đánh giá năng lực bắt đầu từ năm nào, b, Năm 2015 ĐHQGHN tuyển sinh theo phương thức đánh giá năng lực
ask_when,  Đại học quốc gia Hà Nội bắt đầu triển khai xây dựng và hoàn thiện Chương trình đào tạo theo Chuẩn đầu ra từ năm nào, b, Tháng 10/2010 ĐHQGHN hoàn thiện chương trình đào tạo theo chuẩn đầu ra.
ask_when, Chương trình đào tạo cử nhân chất lượng cao hiện hành của  Đại học quốc gia Hà Nội được triển khai ở hầu hết các đơn vị đào tạo bắt đầu từ năm học nào, b, Chương trình đào tạo cử nhân chất lượng cao được triển khai từ năm học 2001 – 2002
ask_when,  Đại học quốc gia Hà Nội và Tập đoàn BRG đã ký kết Biên bản ghi nhớ về việc hợp tác giữa hai bên vào thời gian nào, b, Năm 2015
ask_when,  Đại học quốc gia Hà Nội chính thức vinh dự là một trong những trường đại học nhận được sự hỗ trợ một triệu đô la Mỹ của Quỹ Nippon Nhật Bản làm quỹ học bổng bồi dưỡng các tài năng trẻ đáp ứng nhu cầu phát triển của đất nước từ năm bao nhiêu, b, ĐHQGHN vinh dự được nhận hỗ trợ từ Quỹ Nippon (Nhật Bản) năm 1999
ask_when,  Đại học quốc gia Hà Nội đã ký kết Bản thỏa thuận hợp tác toàn diện với Tập đoàn Dầu khí Quốc gia Việt Nam PetroVietnam vào thời gian nào sau đây, b, Năm 2008  ĐHQGHN đã kí bản thỏa thuận hợp tác toàn diện với Tập đoàn dầu khí Quốc gia Việt Nam.
ask_when, Học kỳ phụ của  Đại học quốc gia Hà Nội được tổ chức trong thời gian nào, b, Được tổ chức trong thời gian giữa hai học kỳ chính
ask_when, Bộ tiêu chuẩn kiểm định chất lượng đơn vị đào tạo của  Đại học quốc gia Hà Nội  được ban hành vào năm, b, Bộ tiêu chuẩn kiểm định chất lượng đơn vị đào tạo của ĐHQGHN  được ban hành vào năm 2005
ask_when, Giám đốc  Đại học quốc gia Hà Nội đã ra quyết định thành lập Trung tâm Đảm bảo chất lượng đào tạo và Nghiên cứu phát triển giáo dục ĐBCLĐT & NCPTGD nay là Viện Đảm bảo chất lượng giáo dục vào năm bao nhiêu, b, Trung tâm Đảm bảo chất lượng đào tạo và Nghiên cứu phát triển giáo dục thành lập năm 1995
ask_when, Trở thành đại học định hướng nghiên cứu  đa ngành  đa lĩnh vực có tính hội nhập cao  trong đó  một số trường đại học  viện nghiên cứu thành viên thuộc các lĩnh vực khoa học cơ bản  công nghệ cao và kinh tế – xã hội mũi nhọn đạt trình độ tiên tiến châu Á   là tầm nhìn đến năm bao nhiêu của  Đại học quốc gia Hà Nội, b, Tầm nhìn Năm 2030 của ĐHQGHN
ask_when,  Đại học quốc gia Hà Nội tổ chức thi tuyển bằng hình thức Đánh giá năng lực vào năm, b, ĐHQGHN tổ chức hình thức đánh giá năng lực năm 2015
ask_when,  Đại học quốc gia Hà Nội bắt đầu xây dựng và triển khai dự án  Đào tạo cử nhân khoa học tài năng  từ năm nào, b, Năm 1997 ĐHQGHN xây dựng và triển khai dự án Đào tạo cử nhân khoa học tài năng 
ask_when, Giáo sư Trần Văn Giàu đã được Nhà nước trao tặng giải thưởng Hồ Chí Minh với công trình về Lịch sử Việt Nam gồm 5 bộ  18 tập 1956-1978 vào năm nào sau đây, b, Giáo sư Trân Văn Giàu nhận giải thưởng Hồ Chí Minh về công trình lịch sử Việt Nam vào năm 1996
ask_when, Câu lạc bộ Nhà Khoa học  Đại học quốc gia Hà Nội VNU- giáo sưL được thành lập vào thời gian nào, b, Câu lạc bộ Nhà khoa học ĐHQGHN được thành lập vào tháng 3/2013
ask_when, Tuyến đường mới mang tên cố Giáo sư Trần Quốc Vượng được đặt vào thời gian nào sau đây, b, Tuyến đường mang tên Trần Quốc Vượng được đặt tên vào Năm 2016
ask_when, Câu lạc bộ Cựu sinh viên  Đại học quốc gia Hà Nội được ra mắt năm nào, b, Câu lạc bộ cựu sinh viên ĐHQGHN ra đời năm 2016
ask_when,  Phó giáo sư Tiến sĩ Lê Anh Vinh  là Phó Giáo sư trẻ nhất Việt Nam  được phong Phó giáo sư năm 30 tuổi  là năm nào, b, PGS.TS Lê Anh Vinh được phong Phó giáo sư vào năm 2013
ask_when, Tiến sĩ Lê Hoàng Sơn  trường ĐH Khoa học Tự nhiên đã được Vinh danh 10 Gương mặt trẻ Thủ đô tiêu biểu năm nào, b, Tiến sĩ Lê Hoàng Sơn được vinh danh là 10 gương mặt tiêu biểu năm 2017
ask_when,  giáo sư Đào Duy Anh - Nhà sử học và văn hóa lớn sinh năm bao nhiêu, b, GS. Đào Duy Anh sinh năm 1904
ask_when, Chàng trai vàng Olympic Hóa học Đinh Quang Hiếu  sinh viên ĐH Khoa học Tự nhiên  ĐHQG Hà Nội  từng giành cú đúp huy chương vàng Olympic Hóa học quốc tế trong 2 năm liên tiếp 2016  2017 đã được Vinh danh 10 Gương mặt trẻ Thủ đô tiêu biểu năm nào, b, Chàng trai vàng Olympic Hóa học Đinh Quang Hiếu đã từng giành cú đúp huy chương vàng Olympic năm 2017
ask_when, Sinh viên phải hoàn thành việc đăng kí các học phần của mỗi kì học vào khoảng thời gian nào sau đây, b, Chậm nhất là 1 tháng trước khi bắt đầu mỗi kỳ học
ask_when, Sinh viên được phép đăng ký những học phần muốn học hoặc đăng ký đổi sang lớp học phần khác trong khoảng thời gian nào, b, Trong 2 tuần đầu tiên đối với học kỳ chính  hoặc trong 1 tuần đầu tiên với kỳ học phụ
ask_when, Cuộc thi Lớp tôi là số 1 được tổ chức bắt đầu từ năm nào, b, Năm 2017 bắt đầu tổ chức cuộc thi Lớp tôi là số 1
ask_when, Đại hội Đại biểu Hội Sinh viên  Đại học quốc gia Hà Nội nhiệm kì 2018-2023 diễn ra vào thời gian nào, b, Tháng 6/2018 Đại hội sinh viên ĐHQGHN được diễn ra
ask_when,  Đại học quốc gia Hà Nội thí điểm tuyển sinh theo phương thức đánh giá năng lực từ năm nào, b, Thí điểm tuyển sinh theo phương pháp đánh giá năng lực từ năm 2014
ask_when,  giáo sư Ngô Bảo Châu – cựu học sinh của  Đại học quốc gia Hà Nội đã đạt giải thưởng cao quý nhất cho những người làm Toán trên thế giới đó là Huy chương Fields vào năm, b, GS. Ngô Bảo Châu đạt Huân chương Fields năm 2011
ask_when, Đoàn TNCS Hồ Chí Minh Đại học Quốc gia Hà Nội được Ban Thường vụ Thành đoàn Hà Nội ký quyết định thành lập vào ngày  tháng  năm nào, b, Đoàn TNCS Hồ Chí Minh ĐHQGHN được thành lập 16/3/1996
ask_when, Đoàn TNCS Hồ Chí Minh  Đại học quốc gia Hà Nội Kỷ niệm 20 năm thành lập vào năm nào, b, Đoàn TNCS Hồ Chí Minh ĐHQGHN kỉ niệm 20 năm vào 2015
ask_when, Đoàn TNCS Hồ Chí Minh  Đại học quốc gia Hà Nội đón nhận Huân chương lao động hạng nhì vào năm nào, b, Đoàn TNCS Hồ Chí Minh ĐHQGHN nhận huân chương lao động hạng nhì vào năm 2015
ask_when, Sinh viên  Đại học quốc gia Hà Nội được cấp thẻ sinh viên trong thời gian nào, b, Trong thời gian học tập và được hưởng các quyền về đào tạo theo Quy chế đào tạo đại học  thạc sĩ và tiến sĩ tại ĐHQGHN.
ask_when, Đoàn Thanh niên  Đại học quốc gia Hà Nội cũng tổ chức Chiến dịch Mùa hè thanh niên tình nguyện khi nào, b, Mùa hè hằng năm.
ask_when, đại học công nghệ thành lập vào năm nào, a, đại học công nghệ thành lập vào năm 2004
