unknown,không biết,a,tôi không biết bạn có thể đặt câu hỏi chi tiết hơn khônggiam
ask_number, Đến năm học 1968 – 1969  trường Đại học Tổng hợp Hà Nội có bao nhiêu khoa trực thuộc, b, Đại học Tổng hợp Hà Nội có 8 khoa trực thuộc vào năm 1968-1969
ask_number, Đến năm học 1965 – 1966  trường Đại học Tổng hợp Hà Nội có bao nhiêu khoa trực thuộc, b, Đại học Tổng hợp Hà Nội có 7 khoa trực thuộc vào năm 1965-1966
ask_number, Sau 30 năm thành lập  đội ngũ cán bộ khoa học của trường Đại học Tổng hợp Hà Nội đã có bao nhiêu đề tài nghiên cứu khoa học cấp nhà nước và cấp bộ, b, Có tất cả 157 đề tài nghiên cứu khoa học cấp nhà nước và cấp bộ.
ask_number, Đến năm 1986  Trường Đại học Tổng hợp Hà Nội có bao nhiêu khoa trực thuộc, b, Có 14 khoa trực thuộc vào năm 1986
ask_number, Đến năm 1986  Trường Đại học Tổng hợp Hà Nội có bao nhiêu trung tâm nghiên cứu khoa học, b, Có 7 trung tâm nghiên cứu khoa học vào năm 1986
ask_number, Đến năm 1986  Trường Đại học Tổng hợp Hà Nội có bao nhiêu Giáo sư và Phó giáo sư, b, có 109 giáo sư và phó giáo sư tham gia giảng dạy vào năm 1986
ask_number, Đến năm 1986  Trường Đại học Tổng hợp Hà Nội có bao nhiêu Tiến sĩ và Phó tiến sĩ, b, có 264 tiến sĩ và phó tiến sĩ tham gia giảng dạy vào năm 1986
ask_number, Riêng trong 2 năm 1988 – 1989  đội ngũ cán bộ trường Đại học Tổng hợp đã triển khai bao nhiêu đề tài nghiên cứu các cấp, b, Có tất cả 94 đề tài nghiên cứu khoa học các cấp trong 2 năm 1988 - 1989
ask_number, Tính đến năm học 1992 – 1993  trường Đại học Tổng hợp đã có bao nhiêu khoa trực thuộc, b, có 15 khoa trực thuộc Đại học Tổng hợp đến năm 1992-1993.
ask_number, Năm giáo trình  của Đại học Tổng hợp có bao nhiêu đầu sách giáo trình được in, b, Có tất cả 82 đầu sách giáo trình được in ra vào năm giáo trình.
ask_number, Cơ cấu tổ chức của Trung tâm Giáo dục Quốc phòng –  Đại học quốc gia Hà Nội gồm bao nhiêu khoa, b, Trung tâm giáo dục quốc phòng gồm 2 khoa.
ask_number, Từ sau năm 1917 đến trước thế chiến thứ hai  Đại học Đông Dương tiền thân  Đại học quốc gia Hà Nội có bao nhiêu trường đại học thành viên, b, có 14 trường thành viên Đại học Đông Dương đến năm 1917.
ask_number, Trong năm học đầu tiên  Đại học Quốc gia Việt Nam có bao nhiêu sinh viên đăng kí học, b, Khóa đầu tiên của ĐHQGHN có 1149 sinh viên theo học.
ask_number,  Đại học quốc gia Hà Nội có bao nhiêu đơn vị hỗ trợ/dịch vụ, b, 12
ask_number, Tính đến nay  Khoa Các khoa học liên ngành –  Đại học quốc gia Hà Nội có bao nhiêu chương trình đào tạo, b, Khoa Các khoa học liên ngành – ĐHQGHN có 4 chương trình đào tạo
ask_number, Bệnh viện  Đại học quốc gia Hà Nội có quy mô bao nhiêu giường bệnh tại nội thành Hà Nội, b, Bệnh viện ĐHQGHN có 100 giường bệnh
ask_number, Hiện tại   Đại học quốc gia Hà Nội đang triển khai bao nhiêu chương trình đào tạo đại học, b, ĐHQGHN có 136 chương trình đào tạo đại học
ask_number, Năm 2017   giáo sư Phan Huy Lê nhận Giải thưởng Hồ Chí Minh về KH&CN lần thứ mấy với công trình  Lịch sử và Văn hóa Việt Nam – Tiếp cận bộ phận , b, Năm 2017  GS. Phan Huy Lê nhận Giải thưởng Hồ Chí Minh về KH&CN lần thứ V
ask_number, Trong năm 2017   giáo sư Thân Đức Hiền nhận Giải thưởng Nhà nước về KH&CN lần thứ mấy với cụm công trình  Nghiên cứu cơ bản và định hướng ứng dụng các vật liệu từ liên kim loại đất hiếm – kim loại chuyển tiếp , b, năm 2017  GS. Thân Đức Hiền nhận Giải thưởng Nhà nước về KH&CN Lần thứ V
ask_number, Năm học 2018 - 2019  trường Đại học Khoa học Xã hội và Nhân văn   Đại học quốc gia Hà Nội tuyển sinh tại bao nhiêu ngành học, b, Năm học 2018 - 2019 Đại học Khoa học Xã hội và Nhân văn tuyển sinh 24 ngành học
ask_number, Tính đến năm 2018   Đại học quốc gia Hà Nội đã áp dụng phương thức đào tạo theo tín chỉ được bao nhiêu năm, b, Phương pháp học tín chỉ được 10 năm
ask_number, Có bao nhiêu đơn vị thuộc  Đại học quốc gia Hà Nội đang triển khai đào tạo bằng kép bậc đại học chính quy, b, có 5 đơn vị triển khai đào tạo bằng kép
ask_number, Trong giai đoạn 2014 – 2020   Đại học quốc gia Hà Nội có bao nhiêu ngành đào tạo cử nhân tài năng, b, có 4 ngành đào tạo cử nhân tài năng.
ask_number, Trong giai đoạn 2014 – 2020   Đại học quốc gia Hà Nội có bao nhiêu chuyên ngành đào tạo cử nhân đạt chuẩn quốc tế, b, có 15 ngành đào tạo cử nhận đạt chuẩn quốc tế.
ask_number, Trong giai đoạn 2014 – 2020   Đại học quốc gia Hà Nội có bao nhiêu chuyên ngành đào đào cử nhân trọng điểm, b, Có 17 ngành đào tạo cử nhân đạt chuẩn quốc tế.
ask_number, Trong giai đoạn 2014 – 2020   Đại học quốc gia Hà Nội có bao nhiêu chuyên ngành đào đào thạc sĩ, b, có 168 chuyên nghành đào tạo thạc sĩ
ask_number, Trong giai đoạn 2014 – 2020   Đại học quốc gia Hà Nội có bao nhiêu chuyên ngành đào đào Tiến sĩ, b, có 137 chuyên nghành đào tạo tiến sĩ
ask_number, Tính đến nay   Đại học quốc gia Hà Nội có tổng cộng bao nhiêu chương trình liên kết đào tạo Quốc tế, b, có 26 chương trình liên kết đào tạo Quốc tế
ask_number, Theo Quy chế đào tạo  Chương trình đào tạo chuẩn được thiết kế có bao nhiêu tín chỉ, b, 120 đến 140 tín chỉ
ask_number, Theo bảng xếp hạng QS năm 2017   Đại học quốc gia Hà Nội được xếp thứ bao nhiêu trong top 150 đại học hàng đầu Châu Á, b, 139
ask_number, Thông thường  thời gian đào tạo đối với chương trình đào tạo hệ đại học hệ chuẩn trong các đơn vị đào tạo tại  Đại học quốc gia Hà Nội là bao lâu, b, thời gian đào tạo chuognw trình chuẩn là 4 năm
ask_number, Tại các đơn vị đào tạo tại  Đại học quốc gia Hà Nội  mỗi kì học  sinh viên phải đăng ký tối thiểu bao nhiêu tín chỉ đối với chương trình đào tạo chất lượng cao, b, Chương trình chất lượng cao đăng kí tối thiểu 18 tín
ask_number, Số tín chỉ tối thiểu để tham gia xét học bổng theo ngân sách đối với hệ chất lượng cao của  Đại học quốc gia Hà Nội là bao nhiêu, b, tối thiểu học 16 tín chỉ mới đủ điều kiện xét học bổng
ask_number, Thỏa thuận hợp tác giữa  Đại học quốc gia Hà Nội và UBND tỉnh Quảng Ninh diễn ra trong bao nhiêu lĩnh vực, b, Có 3 lĩnh vực được thỏa thuận hợp tác giữa ĐHQGHN và UBND tỉnh Quảng Ninh. 
ask_number,  Đại học quốc gia Hà Nội có bao nhiêu chuyên ngành đào tạo Cử nhân , b, ĐHQGHN hiện có 110 chuyên nghành đào tạo cử nhân
ask_number, Có bao nhiêu chương trình đào tạo Đại học chính quy bằng tiếng Anh do Đại học Quốc gia Hà Nội cấp bằng của Khoa quốc tế –  Đại học quốc gia Hà Nội, b, 3
ask_number, Đến nay  Đại học quốc gia Hà Nội đã thiết lập quan hệ hợp tác với bao nhiêu trường đại học và tổ chức giáo dục  Khoa học công nghệ quốc tế, b, ĐHQGHN đã thiết lập 135 quan hệ hợp tác với các trường đại học và tổ chức quốc tế.
ask_number, Nghiên cứu Hệ sinh thái rừng ngập mặn  là Giải thưởng Quốc tế Cosmos lần thứ bao nhiêu Cosmos Prize  2008 do  giáo sư Tiến sĩ Phan Nguyên Hồng  Trung tâm Nghiên cứu Tài nguyên và Môi trường –  Đại học quốc gia Hà Nội tiến hành từ năm 1987, b, Giải thưởng Quốc tế Cosmos lần thứ 16
ask_number, Có bao nhiêu đơn vị trực thuộc  Đại học quốc gia Hà Nội có chương trình giảng dạy chính quy bằng tiếng Anh, b, Có 4 đơn vị trực thuộc có chương trình giảng dạy bằng tiếng anh.
ask_number, Mỗi năm  Đại học Quốc gia Hà Nội có bao nhiêu học kỳ, b, 2 học kỳ chính  một học kỳ phụ
ask_number, Mỗi học kỳ phụ của  Đại học quốc gia Hà Nội có ít nhất bao nhiêu tuần học và thi, b, 5 tuần học và 1 tuần thi
ask_number, Mỗi học kỳ chính của  Đại học quốc gia Hà Nội có ít nhất bao nhiêu tuần học và thi, b, Có 15 tuần học và từ 3 đến 4 tuần thi
ask_number, Thời gian của khóa học do  Đại học quốc gia Hà Nội quy định đối với đào tạo bác sĩ là bao lâu, b, 12 học kỳ chính
ask_number, Khóa luận  đồ án tốt nghiệp có khối lượng kiến thức  khoảng bao nhiêu tín chỉ, b, Từ 5 đến 10 tín chỉ tùy theo chương trình đào tạo
ask_number, Thời gian đào tạo thạc sĩ tại  Đại học quốc gia Hà Nội là bao nhiêu năm, b, thời gian đào tạo thạc sĩ là 2 năm
ask_number, Tìm về cội nguồn là một cụm công trình nghiên cứu về lịch sử Việt Nam thời trung đại của Giáo sư Phan Huy Lê được Nhà nước trao tặng giải thưởng Hồ Chí Minh gồm bao nhiêu tập, b, 0Tìm về cội nguồn gồm 2 tập
ask_number, Năm 2017  Đại học  Đại học quốc gia Hà Nội có bao nhiêu Nhà giáo được phong tặng danh hiệu Nhà giáo Ưu tú , b, ĐHQGHN có 9 nhà giáo ưu tú.
ask_number, Năm 2017  Đại học  Đại học quốc gia Hà Nội có bao nhiêu Nhà giáo được phong tặng danh hiệu Nhà giáo Nhân dân , b, ĐHQGHN có 25 nhà giáo được phong làm nhà giáo nhân dân.
ask_number, Năm 2016   Đại học quốc gia Hà Nội có bao nhiêu cán bộ khoa học được công nhận đạt chuẩn chức danh Phó Giáo sư, b, Có 28 cán bộ khoa học được công nhận chức danh Phó giáo sư.
ask_number, Năm 2016   Đại học quốc gia Hà Nội có bao nhiêu cán bộ khoa học được công nhận đạt chuẩn chức danh Giáo sư, b, Có 8 cán bộ khoa học được công nhận chức danh giáo sư.
ask_number, Công Đoàn  Đại học quốc gia Hà Nội gồm bao nhiêu Phó chủ tịch và Phó chủ tịch thường trực, b, 02 Phó chủ tịch và 01 Phó chủ tịch thường trực
ask_number, Ban Thường vụ Công đoàn  Đại học quốc gia Hà Nội  nhiệm kỳ 2017 - 2022 gồm bao nhiêu thành viên, b, Ban thường vụ gồm 7 thành viên
ask_number, ĐHGHN có mấy KTX dành cho sinh viên , b, Hiện nay ĐHQGHN có 3 KTX.
ask_number, Tại các đơn vị đào tạo tại  Đại học quốc gia Hà Nội  mỗi kì học  sinh viên phải đăng ký tối thiểu bao nhiêu tín chỉ đối với chương trình đào tạo chuẩn, b, Chương trình đào tạo chuẩn tối thiểu 14 tín
ask_number, Trong chương trình học  sinh viên  Đại học quốc gia Hà Nội phải hoàn thành bao nhiêu tín chỉ về giáo dục thể chất, b, Sinh viên phải hoàn thành 4 tín giáo dục thể chất
ask_number, Có mấy loại bảng điểm mà nhà trường cấp cho sinh viên, b, 2 bản  một bản tiếng Việt và một bản tiếng Anh
ask_number, Cuộc vận động Xây dựng phong cách sinh viên  Đại học quốc gia Hà Nội do Hội Sinh viên  Đại học quốc gia Hà Nội phát động gồm mấy tiêu chí, b, Xây dựng phong cách sinh viên ĐHQGHN gồm 5 tiêu chí.
ask_number, Hội Sinh viên  Đại học quốc gia Hà Nội hiện có bao nhiêu Câu lạc bộ sinh viên, b, khoảng trên 100 câu lạc bộ
ask_number, Trong giai đoạn 2013 - 2018  Đoàn Thanh niên  Hội Sinh viên  Đại học quốc gia Hà Nội đã xây dựng thành công bao nhiêu công trình thanh niên , b, Đoàn thanh niên  Hôi sinh viên ĐHQGHN có 75 công trình
ask_number, Trong hai ngày 02-03/6/2017 Đoàn TNCS Hồ Chí Minh  Đại học quốc gia Hà Nội đã tổ chức Đại hội đại biểu lần thứ mấy, b, Đại hội đại biểu lần thứ V được tổ chức
ask_number, Trong hai ngày 09-10/6/2018 Hội Sinh viên Việt Nam  Đại học quốc gia Hà Nội đã tiến hành tổ chức Đại hội khóa mấy , b, ĐHQGHN tiến hành đại hội khóa IV 
ask_number, Trong nhiệm kì 2013-2018  có bao nhiêu sinh viên  Đại học quốc gia Hà Nội được trao danh hiệu Sinh viên 5 tốt cấp Trung ương, b, Có 28 sinh viên đạt được danh hiệu sinh viên 5 tôt
ask_number, 2013-2018 của Hội Sinh viên  Đại học quốc gia Hà Nội  có bao nhiêu sinh viên  Đại học quốc gia Hà Nội đạt được giải thưởng Sao Tháng Giêng, b, Có 25 sinh viên
ask_number, Trong năm học 2017 - 2018   Đại học quốc gia Hà Nội có bao nhiêu tập thể  cá nhân được tuyên dương danh hiệu Sinh viên 5 tốt cấp Trung ương, b, Có 7 tập thể và 3 cá nhân
ask_number, Trong năm học 2017 – 2018   Đại học quốc gia Hà Nội có bao nhiêu tập thể  cá nhân được tuyên dương danh hiệu Sinh viên 5 tốt cấp thành phố , b, Có 17 tập thể và 78 cá nhân
ask_number, Sinh viên bị cảnh báo học vụ tối đa bao nhiêu lần thì sẽ bị buộc thôi học, b, Sinh viên bị cảnh báo 2 lần bị buộc thôi học.
ask_number, Sinh viên bị khiển trách trong phòng thi khi thi thì sẽ bị trừ bao nhiêu % số điểm của học phần đó, b, Sinh viên bị khiển trách sẽ bị trừ 25%
ask_number, Hằng năm  tại các cơ sở đào tạo của  Đại học quốc gia Hà Nội có mấy lần xét tốt nghiệp, b, Hằng năm các cơ sở đào tạo có 4 lần xét tốt nghiệp.
ask_number, Chương trình đào tạo kỹ sư theo chương trình đào tạo chuẩn được thiết kế bao nhiêu tín chỉ, b, từ 140 đến 160 tín chỉ
ask_number, Chương trình đào tạo dược sĩ theo chương trình đào tạo chuẩn được thiết kế bao nhiêu tín chỉ, b, từ 155 đến 175 tín chỉ
ask_number, Chương trình đào tạo bác sĩ theo chương trình đào tạo chuẩn được thiết kế bao nhiêu tín chỉ, b, từ 205 đến 225 tín chỉ
ask_number, Sinh viên có điểm trung bình chung học kì dưới 2 0 được đăng kí bao nhiêu tín chỉ mỗi học kì , b, không quá 18 tín chỉ trong mỗi học kỳ chính
ask_number, Khóa luận tốt nghiệp có khối lượng kiến thức là bao nhiêu tín, b, Khóa luận tốt nghiệp có khối lượng kiến thức là 7 tín chỉ
ask_number, Chương trình đào tạo bằng kép được áp dụng cho đối tượng sinh viên năm thứ mấy trong hệ đào tạo chuẩn của  Đại học quốc gia Hà Nội, b, Sinh viên năm thứ hai
ask_number, Số tín chỉ tối thiểu để có thể tham gia xét học bổng theo ngân sách đối với hệ đào tạo chính quy của  Đại học quốc gia Hà Nội là, b, Tối thiểu 15 tín chỉ mới được xét học bổng.
ask_number, Sinh viên đạt kết quả rèn luyện loại xuất sắc có điểm rèn luyện trong khoảng nào, b, Điểm rèn luyện đạt từ 90 đến 100 điểm
ask_number, Sinh viên đạt kết quả rèn luyện loại kém có điểm rèn luyện trong khoảng nào, b, điểm rèn luyện dưới 35 điểm
ask_number, Thời gian khiếu nại về kết quả đánh giá rèn luyện là bao lâu kể từ ngày công bố, b, Được khiếu nại kết quả rèn luyện trong 10 ngày
ask_number, Trong quy chế sinh viên quy định quyền của sinh viên gồm bao nhiêu điều, b, Quyền của sinh viên gồm 14 điều.
ask_number, Trong quy chế sinh viên quy định nghĩa vụ của sinh viên gồm bao nhiêu điều, b, nghĩa vụ của sinh viên gồm 15 điều
ask_number, Sinh viên khi nhập trường phải nộp đầy đủ hồ sơ theo quy định Trường hợp đặc biệt  sinh viên được phép nộp bổ sung nhưng không vượt quá bao nhiêu ngày kể từ ngày nhập học, b, Không quá 15 ngày
ask_number, Điểm trung bình chung học kỳ và điểm trung bình chung tích lũy được tính theo công thức và được làm tròn đến mấy chữ số thập phân, b, Điểm trung bình tích lũy được làm trón đến 2 chữ số sau dấu phảy
ask_number, Chậm nhất bao lâu sau khi sinh viên có quyết định buộc thôi học  đơn vị đào tạo phải thông báo trả về địa phương nơi sinh viên có hộ khẩu thường trú, b, Chậm nhất 1 tháng sau khi có quyết định.
ask_number, Trong quy chế đào tạo của  Đại học quốc gia Hà Nội quy định Chương trình đào tạo chất lượng cao được thiết kế nhiều hơn chương trình đào tạo chuẩn tương ứng ít nhất là bao nhiêu tín chỉ, b, 15 tín chỉ
ask_number, Trong quy chế Đào tạo của  Đại học quốc gia Hà Nội quy định Mỗi năm có mấy kì học chính và mấy kì học phụ , b, Mỗi năm gồm 2 kì học chính  1 kì học phụ
ask_number, Quy chế Đào tạo của  Đại học quốc gia Hà Nội quy định  mỗi học kỳ phụ có ít nhất mấy tuần , b, Ít nhất 5 tuần học và 1 tuần thi  được tổ chức trong thời gian giữa hai học kỳ chính
ask_number, Hiệu lực của quyết định kỉ luật được chấm dứt đối với trường hợp bị khiển trách là, b, 3 tháng kể từ khi có quyết định 
ask_number, Hiệu lực của quyết định kỉ luật được chấm dứt đối với trường hợp bị cảnh cáo là, b, 6 tháng kể từ khi có quyết định
ask_number, Số tín chỉ đăng ký học tối thiểu đối với chương trình đào tạo chuẩn của mỗi kỳ không bao gồm các học phần ngoại ngữ  giáo dục thể chất  giáo dục quốc phòng - an ninh  kỹ năng bổ trợ  tự chọn tự do, b, Tối thiểu 14 tín
ask_number, Số tín chỉ đăng ký học tối thiểu đối với chương trình đào tạo chất lượng cao của mỗi kỳ học  không bao gồm các học phần ngoại ngữ  giáo dục thể chất  giáo dục quốc phòng – an ninh  kỹ năng bổ trợ  tự chọn tự do  , b, Tối thiểu 16 tín
ask_number, Số tín chỉ đăng ký học tối thiểu đối với chương trình đào tạo quốc tế của mỗi kỳ học  không bao gồm các học phần ngoại ngữ  giáo dục thể chất  giáo dục quốc phòng – an ninh  kỹ năng bổ trợ  tự chọn tự do  , b, Tối thiểu 16 tín
ask_number, Thời gian hoạt động giảng dạy và học tập của đơn vị đào tạo là, b, Từ 7h – 21h hàng ngày
ask_number, Thời gian của một tiết hoc là bao nhiêu phút, b, thời lượng một tiết là 50 Phút
ask_number, Thời gian thiết kế của khóa học đào tạo chính quy đối với chương trình đào tạo cử nhân là, b, Chương trình đào tạo cử nhận gồm 8 học kỳ
ask_number, Thời gian thiết kế của khóa học đào tạo chính quy đối với chương trình đào tạo kĩ sư là, b, Chương trình đào tạo kĩ sư 9-10 học kỳ
ask_number, Thời gian thiết kế của khóa học đào tạo chính quy đối với chương trình đào tạo dược sĩ là, b, Chương trình đào tạo dược sĩ 10 học kỳ
ask_number, Thời gian thiết kế của khóa học đào tạo chính quy đối với chương trình đào tạo bác sĩ là, b, chương trình đào tạo bác sĩ 12 học kỳ
ask_number, Sinh viên phải hoàn thành bao nhiêu tín chỉ của học phần giáo dục thể chất, b, Sinh viên phải hoàn thành 4 tín giáo dục thể chất
ask_number, Thời gian học học phần giáo dục an ninh quốc phòng của sinh viên là, b, thời gian học giáo dục an ninh quốc phòng là 1 tháng
ask_number, Đối với những sinh viên học bằng kép  thời gian kết thúc cả 2 chương trình đào tạo tối đa là, b, thời gian kết thúc đào tạo tối bằng kép là 6 năm
ask_number, Điểm thưởng cho những công trình nghiên cứu khoa học của sinh viên Đạt giải nhất cấp Đại học Quốc gia Hà Nội hoặc cấp Bộ Giáo dục và Đào tạo là, b, 0 20 điểm đối với đạt giải nhất
ask_number, Điểm thưởng cho những công trình nghiên cứu khoa học của sinh viên Đạt giải nhì cấp Đại học Quốc gia Hà Nội hoặc cấp Bộ Giáo dục và Đào tạo là, b, 0 15 điểm đối với đạt giải nhì
ask_number, Điểm thưởng cho những công trình nghiên cứu khoa học của sinh viên Đạt giải ba cấp Đại học Quốc gia Hà Nội hoặc cấp Bộ Giáo dục và Đào tạo là, b, 0 10 điểm đối với đạt giải ba
ask_number, Điểm thưởng cho những công trình nghiên cứu khoa học của sinh viên Đạt giải khuyến khích cấp Đại học Quốc gia Hà Nội hoặc cấp Bộ Giáo dục và Đào tạo là, b, 0 07 điểm
ask_number, Tiêu chuẩn tình nguyện tốt trong nhóm tiêu chuẩn của danh hiệu Sinh viên 5 tốt cấp Trung ương quy định sinh viên phải tham gia ít nhất mấy ngày tình nguyện/năm, b, Phải tham gia ít nhất 5 ngày
ask_number, Sinh viên xếp loại Xuất sắc khi nào, b, có điểm trung bình chung tích lũy từ 3 60 đến 4 00
ask_number, Sinh viên xếp loại Yếu có điểm trung bình chung khi nào, b, tích lũy đạt dưới 2 00 nhưng chưa thuộc trường hợp bị buộc thôi học.
ask_number, Quy chế Đào tạo của  Đại học quốc gia Hà Nội quy định mỗi kì gồm bao nhiêu tuần, b, Mỗi kì học chính có 15 tuần học và từ 3 đến 4 tuần thi 
ask_number, Sinh viên xếp loại khá có điểm trung bình chung tích lũy là bao nhiêu, b, Điểm trung bình tích lũy từ 2.5 đến 3.19

