132, nghiên cứu xây dựng mô hình chứng thực văn bản pháp lý để thúc đẩy triển khai dịch vụ công trên địa bàn tp hà nội  là một trong những nhiệm vụ khoa học công nghệ do đơn vị nào của  đại học quốc gia hà nội hợp tác cùng với tp hà nội, viện công nghệ thông tin
133, nghiên cứu các di sản tự nhiên và văn hóa nhằm xây dựng công viên địa chất geopark tại vùng ba vì – sơn tây  hà nội  phục vụ phát triển du lịch bền vững  là một trong những nhiệm vụ khoa học công nghệ do đơn vị nào của  đại học quốc gia hà nội hợp tác cùng với tp hà nội, trường đại học khoa học tự nhiên
134, từ điển địa danh hành chính thăng long – hà nội truyền thống  là một trong những nhiệm vụ khoa học công nghệ do đơn vị nào của  đại học quốc gia hà nội hợp tác cùng với nhà xuất bản hà nội, viện việt nam học và khoa học phát triển
135, phát triển và tối ưu hóa các giải pháp loại bỏ ô nhiễm asen trong nước ngầm cho các hộ nông dân vùng châu thổ sông hồng  việt nam  là một trong các chương trình hợp tác quốc tế của  đại học quốc gia hà nội và chlb đức cơ quan chủ trì là đơn vị nào của  đại học quốc gia hà nội, trường đại học khoa học tự nhiên
136, nghiên cứu các cấu trúc nano có tính chất từ – quang nhờ cộng hưởng plasmon bề mặt  là một trong các chương trình hợp tác quốc tế của  đại học quốc gia hà nội cơ quan chủ trì thực hiện là đơn vị nào của  đại học quốc gia hà nội, trường đại học khoa học tự nhiên
137, nghiên cứu phát triển công nghệ bãi lọc trồng cây ứng dụng vào xử lý nước thải từ chế biến thủy sản xuất khẩu  là một trong các chương trình hợp tác quốc tế của  đại học quốc gia hà nội với quốc gia nào, tây ban nha
138,  đại học quốc gia hà nội có đối tác là một trong những trường đại học hàng đầu tại ấn độ trường đại học đó là, đại học delhi
139, đại học nào  cùng với đại học quốc gia hà nội  đại học tokyo – nhật bản và đại học quốc gia seoul – hàn quốc nằm trong mạng lưới besetoha – diễn đàn của giám đốc 4 đại học chủ chốt đông á , đại học bắc kinh
140,  đại học quốc gia hà nội là một trong các thành viên của hiệp hội các trường đại học đông nam á – asaihl là một tổ chức , asaihl là tôt chức phi chính phủ
141, nghiên cứu chế tạo và thử nghiệm ứng dụng linh kiện phát quang hữu cơ – oled  là một trong các chương trình hợp tác quốc tế của  đại học quốc gia hà nội đó là sự hợp tác khcn việt nam – hàn quốc cơ quan chủ trì thực hiện là đơn vị nào của  đại học quốc gia hà nội, trường đại học công nghệ
142, trường đại học nào sau đây trực thuộc  đại học quốc gia hà nội là thành viên hiệp hội giáo viên châu á – thái bình dương, trường đại học giáo dục
143, đầu năm học   đại học quốc gia hà nội áp dụng thi khảo sát năng lực tiếng anh đối với sinh viên năm nhất với mục đích, phân loại sinh viên
144, tiến sĩ đỗ quốc tuấn – người được nhận giải thưởng tạ quang bửu dành cho nhà khoa học trẻ dưới 35 tuổi vào 18/05/2018 là giảng viên trường nào trong  đại học quốc gia hà nội, trường đại học khoa học tự nhiên
145, quản trị tinh gọn  made in vietnam   do  tiến sĩ nguyễn đăng minh làm trưởng nhóm  là một trong những nhóm nghiên cứu tiềm năng thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội năm 2017, trường đại học kinh tế
146, nghiên cứu khu vực học  do  giáo sư  tiến sĩ nguyễn quang ngọc làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị nào của  đại học quốc gia hà nội năm 2017, viện việt nam học và khoa học phát triển
147, ứng dụng dược chất thiên nhiên và tổng hợp định hướng hóa dược  do  tiến sĩ mạc đình hùng làm trưởng nhóm là một trong những nhóm nghiên cứu tiềm năng thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội năm 2017, trường đại học khoa học tự nhiên
148, 205 đến 225 tín chỉ là số tin chỉ ứng với chương trình đào tạo dành cho đối tượng nào sau đây thuộc  đại học quốc gia hà nội, chương trình đào tạo bác sĩ
149, chương trình đào tạo có 2 phần kiên thức đó là, kiến thức cốt lõi và kiến thức bổ trợ
150, sinh viên đang học tập tại các đơn vị đào tạo của đại học quốc gia hà nội được đăng ký học bằng kép nếu có đủ các điều kiện sau, đang học từ học kỳ thứ ba đến học kỳ thứ bảy chương trình đào tạo thứ nhất của chương trình đào tạo bằng kép
151, hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp là, cấp đại học quốc gia hà nội và cấp đơn vị đào tạo
152, viện việt nam học và khoa học phát triển  đại học quốc gia hà nội đã làm đầu mối tổ chức thực hiện thành công lập hồ sơ khoa học đề nghị unesco công nhận di sản nào là di sản văn hóa thế giới, di tích hoàng thành thăng long
153, khẩu hiệu hành động của  đại học quốc gia hà nội là, đạt đỉnh cao dựa vào tri thức
154, giá trị cốt lõi và khẩu hiệu hành động của trường đại học khoa học xã hội và nhân văn   đại học quốc gia hà nội là, tiên phong – sáng tạo – chất lượng cao và trình độ cao
155, điều kiện để sinh viên  đại học quốc gia hà nội có thể tham gia làm khóa luận tốt nghiệp là gì, điểm trung bình tích lũy trên 2.8
156, chương trình đào tạo tài năng của  đại học quốc gia hà nội đào tạo các sinh viên xuất sắc thuộc các ngành toán học  cơ học  vật lý  khí tượng – thuỷ văn – hải dương học  địa lý  địa chất  hoá học  sinh học  khoa học môi trường tại trường nào, trường đại học khoa học tự nhiên
157, khẩu hiệu hành động của  đại học quốc gia hà nội là, đạt đỉnh cao dựa vào tri thức
158, ngành đông phương học là một trong những ngành học thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội, trường đại học khoa học xã hội và nhân văn
159, khi mới thành lập  khoa các khoa học liên ngành –  đại học quốc gia hà nội có 02 chương trình đào tạo là, thạc sĩ biến đổi khí hậu  thạc sĩ khoa học bền vững
160, 02 trung tâm đào tạo trực thuộc  đại học quốc gia hà nội là gì , trung tâm giáo dục thể chất và thể thao  trung tâm giáo dục quốc phòng – an ninh
161, những năm học đầu tiên  trường đại học tổng hợp hà nội chia các lĩnh vực đào tạo chuyên môn thành 02 ban là, khoa học  văn khoa
162, trung tâm giáo dục quốc phòng –  đại học quốc gia hà nội được thành lập dựa trên cơ sở sắp xếp lại các khoa giáo dục quốc phòng của các trường đại học nào, đại học khoa học xã hội và nhân văn  đại học ngoại ngữ
163, trường đại học tổng hợp hà nội trực tiếp kế thừa truyền thống và cơ sở vật chất  kĩ thuật của các trường tiền thân nào, trường đại học đông dương  trường đại học quốc gia việt nam  trường khoa học cơ bản
164, thủ tướng chính phủ đã ký quyết định số 1186/qđ–ttg ngày 21/7/2014 về việc thành lập trường đại học việt nhật – trường đại học thành viên thứ 7 thuộc  đại học quốc gia hà nội trường được xây dựng theo mô hình đại học xuất sắc vì kết hợp được những yếu tố nào sau đây, dựa trên nền tảng khoa học công nghệ cao  liên thông  liên kết chặt chẽ với các cơ sở giáo dục đại học và doanh nghiệp của việt nam và nhật bản
165, học bổng cho của sinh viên thuộc  đại học quốc gia hà nội do cơ quan nào cấp , nhà nước  doanh nghiệp  các tổ chức nước ngoài
166, chương trình đào tạo cử nhân  thạc sĩ có liên kết với đối tác nước ngoài của trường đại học kinh tế   đại học quốc gia hà nội thuộc ngành nào sau đây, tài chính ngân hàng và thương mại quốc tế  quản lý công  quản trị kinh doanh
167, trường đại học tổng hợp hà nội trực tiếp kế thừa truyền thống và cơ sở vật chất  kĩ thuật của các trường tiền thân nào, trường đại học đông dương  trường đại học quốc gia việt nam  trường khoa học cơ bản
168, trường thpt nào sau đây trực thuộc đại học quốc gia hà nội, thpt chuyên ngoại ngữ  thpt chuyên khoa học tự nhiên
169, đơn vị tiên phong trong triển khai hoạt động đào tạo tại hòa lạc là, trường đại học khoa học tự nhiên
170,  đại học quốc gia hà nội có các mục tiêu cụ thể là, đào tạo nguồn nhân lực chất lượng cao  trình độ cao  bồi dưỡng nhân tài phục vụ yêu cầu phát triển kinh tế – xã hội và hội nhập quốc tế của đất nước 
171, đi đầu luôn được coi là tiêu chí nhận dạng của các hoạt động và đội ngũ cán bộ của  đại học quốc gia hà nội trong hệ thống các trường đại học ở việt nam nó được thể hiện trong việc, tiên phong trong đào tạo chất lượng cao  nckh đỉnh cao  dịch vụ cộng đồng  tiên phong trong việc áp dụng các phương pháp mới trong quản trị đại học  quản lý đào tạo  đánh giá chất lượng  tiên phong nghiên cứu những lĩnh vực mới  triển khai thực hiện đào tạo những ngành hoàn toàn mới ở việt nam  tiên phong của đhqghn đưa giáo dục việt nam gần hơn với khu vực và trên thế giới
172, nhiệm vụ trọng tâm của  đại học quốc gia hà nội là, đào tạo  hội nhập quốc tế  khoa học và công nghệ
173,  đại học quốc gia hà nội là thành viên ban điều hành  tham gia cơ cấu lãnh đạo của nhiều tổ chức  hiệp hội  mạng lưới giáo dục đại học như, đại học asean (aun)  hiệp hội các đại học đông nam á và đài loan (satu)  tổ chức đại học pháp ngữ (auf)
174, đại học quốc gia hà nội có các loại chương trình đào tạo sau, chương trình đào tạo đơn ngành  chương trình đào tạo liên kết quốc tế  chương trình đào tạo đa ngành
175, kinh phí cho hoạt động đào tạo của  đại học quốc gia hà nội có nguồn là, kinh phí từ ngân sách nhà nước  các nguồn kinh phí khác  học phí
176, chương trình đào tạo chất lượng cao tại  đại học quốc gia hà nội dành cho những sinh viên khá giỏi hệ chính quy của một số ngành nào sau đây, khoa học cơ bản  công nghệ cao  kinh tế – xã hội
177, chương trình đào tạo chất lượng cao tại  đại học quốc gia hà nội dành cho những sinh viên khá giỏi hệ chính quy của một số ngành nào sau đây, khoa học cơ bản  công nghệ cao  kinh tế – xã hội
178, bộ trưởng bộ khoa học và công nghệ chu ngọc anh và giám đốc  đại học quốc gia hà nội nguyễn kim sơn kí kết văn bản thỏa thuận phối hợp hoạt động song phương giữa hai đơn vị 16/5/2017 nhằm phối hợp triển khai, các chương trình phát triển khoa học cơ bản  các hoạt động kết nối cung cầu  hỗ trợ ứng dụng và đổi mới công nghệ  góp phần phát triển sản phẩm quốc gia và sản phẩm công nghệ cao.
179, cụm công trình lịch sử và văn hóa việt nam của giáo sư đào duy anh – tác phẩm được tặng giải thưởng hồ chí minh gồm, lịch sử việt nam từ nguồn gốc đến thế kỷ xix  lịch sử cổ đại việt nam  việt nam văn hóa sử cương  đất nước việt nam qua các đời
180, đâu là nội dung của cụm công trình  tìm về cội nguồn  của giáo sư phan huy lê – công trình được nhà nước trao tặng giải thưởng hồ chí minh năm 2000, các nguồn sử liệu và phương pháp  kết quả tiếp cận.   một số vấn đề lớn của lịch sử việt nam như quá trình hình thành dân tộc  sự phát triển của các hình thái kinh tế - xã hội.   những vấn đề kinh tế – xã hội như lao động làm thuê  chế độ ruộng đất  làng xã cổ truyền  nghề khai khoáng  thành thị  phong trào nông dân.   thiết kế chính trị như tổ chức nhà nước  vương triều hồ và cải cách của hồ quý ly  di sản về thiết chế chính trị.
181, nghiên cứu hệ sinh thái rừng ngập mặn  – giải thưởng quốc tế cosmos lần thứ 16 cosmos prize  2008 do  giáo sư tiến sĩ phan nguyên hồng  trung tâm nghiên cứu tài nguyên và môi trường –  đại học quốc gia hà nội tiến hành từ năm 1987 có ý nghĩa như thế nào, có ý nghĩa to lớn trong bảo vệ môi trường toàn cầu  góp phần nâng cao đời sống  ý thức và hành vi bảo vệ môi trường của cộng đồng  giúp đỡ các địa phương phục hồi  bảo vệ  sử dụng hợp lý tài nguyên  nâng cao chất lượng cuộc sống cho người dân nghèo ven biển
182, sau mỗi học kỳ sinh viên  đại học quốc gia hà nội bị buộc thôi học đối với các trường hợp là, có điểm trung bình chung học kỳ đạt dưới 0 80 đối với học kỳ đầu của khóa học  đạt dưới 1 10 đối với 2 học kỳ liên tiếp  đạt dưới 1 00 đối với các học kỳ tiếp theo
183, để nâng cao chất lượng đào tạo đại học tại  đại học quốc gia hà nội cần phải có, giảng viên giỏi  chương trình đào tạo phù hợp  cơ sở vật chất tốt
184, sinh viên tốt nghiệp ngành quản trị du lịch - khách sạn tại trường đại học khoa học xã hội và nhân văn –  đại học quốc gia hà nội có thể đảm nhiệm các vị trí nào sau đây, quản trị điều hành du lịch quốc tế  nghiên cứu thị trường  xây dựng các sản phẩm du lịch – sự kiện thể thao tổ chức các hoạt động marketing và kinh doanh sản phẩm du lịch  quản lý doanh nghiệp lữ hành
185, nhóm tác giả của  phó giáo sư tiến sĩ phạm bảo sơn thuộc đơn vị đào tạo nào của  đại học quốc gia hà nội đã giành giải nhì tại giải thưởng nhân tài đất việt 2017 với sản phẩm doit – hệ thống hỗ trợ nâng cao chất lượng văn bản một công cụ phụ trợ để phát hiện các lỗi chính tả có thể gặp phải  ngày 16/11/2017, nhóm tác giả của pgs.ts phạm bảo sơn thuộc đại học công nghệ
186, giám đốc  đại học quốc gia hà nội phụ trách trách những lĩnh vực công tác nào sau đây, chiến lược và kế hoạch phát triển đhqghn  tổ chức cán bộ  hợp tác và phát triển  truyền thông.
187, tính đến thời điểm hiện tại  trường trực thuộc  đại học quốc gia hà nội có số lượng giáo sư nhiều nhất, trường đại học khoa học tự nhiên
188, bộ trưởng bộ giáo dục và đào tạo  giáo sư tiến sĩ phùng xuân nhạ hiện nay đã từng giữ chức vụ gì trong  đại học quốc gia hà nội, giám đốc đhqghn
189, hiệu trưởng đầu tiên của trường đại học việt nhật -  đại học quốc gia hà nội là người nước nào, hiệu trưởng trường đại học việt nhật - đhqghn là người nước nhật
190, đơn vị đào tạo nào của  đại học quốc gia hà nội là trường đại học duy nhất của cả nước trong 5 năm liền đều có nhà khoa học là giảng viên và cựu sinh viên  học viên sau đại học giành giải thưởng tạ quang bửu, trường đại học khoa học tự nhiên
191, giải thưởng tạ quang bửu năm 2016 được trao cho nhà khoa học nào của  đại học quốc gia hà nội, pgs.ts nguyễn ngọc minh nhận giải thưởng tạ quang bửu năm 2016
192, giải thưởng tạ quang bửu năm 2014 được trao cho nhà khoa học nào của  đại học quốc gia hà nội, gs.tskh nguyễn hữu việt hưng nhận giải thưởng tạ quang bửu năm 2014
193, ở tuổi 33  giảng viên bùi thị hồng thái   đại học quốc gia hà nội trở thành nữ phó giáo sư trẻ nhất việt nam năm 2016 cô đang công tác tại đơn vị nào, trường đại học khoa học xã hội và nhân văn
194, giảng viên nguyễn ngọc lưu ly   đại học quốc gia hà nội trở thành nữ phó giáo sư trẻ nhất việt nam năm 2013 cô đang công tác tại đơn vị nào, trường đại học ngoại ngữ
195, nhóm tác giả của đơn vị đào tạo nào trong  đại học quốc gia hà nội giành giải nhì tại giải thưởng nhân tài đất việt 2017, trường đại học công nghệ đã đạt giả nhì tại giải thưởng nhân tài đát việt năm 2017.
196, giám đốc  đại học quốc gia hà nội hiện nay nguyên là bí thư đoàn trường nào, trường đại học khoa học xã hội và nhân văn
197,  giáo sư đào duy anh   giáo sư hoàng xuân hãn   giáo sư nguyễn tài cẩn là bộ ba nhà khoa học chuyên nghiên cứu về, việt ngữ học
198,  giáo sư tiến sĩkh vũ minh giang - chuyên gia lĩnh vực gì  chủ tịch hội đồng khoa học và đào tạo  đại học quốc gia hà nội, sử học
199,  giáo sư phan tống sơn giảng dạy ngành nào tại trường đại học khoa học tự nhiên, gs. phan tống sơn giảng dạy ngành hóa học
200, năm 2003   giáo sư võ quý vinh dự là nhà khoa học việt nam đầu tiên và là người châu á thứ hai được nhận giải thưởng hành tinh xanh  giáo sư võ quý công tác tại đơn vị nào, gs võ quý công tác tại trường đại học khoa học tự nhiên
201,  giáo sưngưt trần quốc vượng  cây đại thụ của nền sử học việt nam công tác tại đơn vị nào, gs.ngưt trần quốc vượng công tác tại trường đại học khoa học xã hội và nhân văn
202,  tiến sĩ hồ đức việt nguyên là giảng viên của đơn vị nào, ts. hồ đức việt  nguyên là giảng viên trường đại học tổng hợp hà nội
203,  giáo sư viện sĩ nguyễn văn hiệu như một tượng đài khoa học  thuộc thế hệ các nhà khoa học đầu đàn của nền khoa học việt nam ông nguyên hiệu trưởng đầu tiên đơn vị nào, gs.vs nguyễn văn hiệu nguyên trường đại học công nghệ
204,  phó giáo sư tiến sĩ bùi hiền  nguyên là giảng viên của đơn vị đào tạo nào, pgs.ts bùi hiền là nguyên giảng viên trường đại học ngoại ngữ
205, hai giảng viên của  đại học quốc gia hà nội tham gia tổ trọng tài quốc tế tại asiad 2018 là cán bộ của đơn vị nào, trung tâm giáo dục thể chất và thể thao
